course_id,module_id,title,scenario_setting,scenario_problem,practice_steps,checklist,video_script
FCFP,FCFP-M1,"Finnish Education Foundations: Equity, Trust, Wellbeing and Joy of Learning",Grade 6 mathematics lesson after lunch.,One learner jokes loudly and refuses work; the barrier may be anxiety or conceptual confusion.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Elena]
[PROFILE: Female, 38–45, warm classroom pedagogy coach, navy blazer, ivory blouse]
[SETTING: bright Scandinavian classroom with light wood and student work displays]
[STYLE: warm, calm, teacher-friendly. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Finnish Education Foundations: Equity, Trust, Wellbeing and Joy of Learning. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Grade 6 mathematics lesson after lunch. The problem is: One learner jokes loudly and refuses work; the barrier may be anxiety or conceptual confusion. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: Lower voice and avoid public confrontation. Step 2: Privately ask: show me the first step you understand. Step 3: Give a visual scaffold and a 3-question success path. Step 4: Record the pattern and check whether it repeats before escalation.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
FCFP,FCFP-M2,"Active Learning, Play, Movement and Learning Environment Design","KG2 classroom with story stones, counting beads, emotion cards and movement dice.",Worksheets are passive; children need active language and social play.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Elena]
[PROFILE: Female, 38–45, warm classroom pedagogy coach, navy blazer, ivory blouse]
[SETTING: bright Scandinavian classroom with light wood and student work displays]
[STYLE: warm, calm, teacher-friendly. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Active Learning, Play, Movement and Learning Environment Design. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: KG2 classroom with story stones, counting beads, emotion cards and movement dice. The problem is: Worksheets are passive; children need active language and social play. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: Convert worksheet into a shop role-play station. Step 2: Children sort objects, count items, use polite language and negotiate turns. Step 3: Teacher observes language/social skills and adds one prompt. Step 4: Teacher writes a short learning story instead of ranking children.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
FCFP,FCFP-M3,"Formative Assessment, Feedback and Self-Assessment",Real classroom with mixed readiness and one clear curriculum objective.,Learners need different access routes while the teacher maintains one shared goal.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Elena]
[PROFILE: Female, 38–45, warm classroom pedagogy coach, navy blazer, ivory blouse]
[SETTING: bright Scandinavian classroom with light wood and student work displays]
[STYLE: warm, calm, teacher-friendly. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Formative Assessment, Feedback and Self-Assessment. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Real classroom with mixed readiness and one clear curriculum objective. The problem is: Learners need different access routes while the teacher maintains one shared goal. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: State the shared objective in learner-friendly language. Step 2: Model one example and check readiness quickly. Step 3: Offer scaffold, core and extension routes. Step 4: Review evidence and record next support step.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
FCFP,FCFP-M4,Early Support and the Leave-No-Child-Behind Classroom Cycle,Real classroom with mixed readiness and one clear curriculum objective.,Learners need different access routes while the teacher maintains one shared goal.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Elena]
[PROFILE: Female, 38–45, warm classroom pedagogy coach, navy blazer, ivory blouse]
[SETTING: bright Scandinavian classroom with light wood and student work displays]
[STYLE: warm, calm, teacher-friendly. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Early Support and the Leave-No-Child-Behind Classroom Cycle. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Real classroom with mixed readiness and one clear curriculum objective. The problem is: Learners need different access routes while the teacher maintains one shared goal. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: State the shared objective in learner-friendly language. Step 2: Model one example and check readiness quickly. Step 3: Offer scaffold, core and extension routes. Step 4: Review evidence and record next support step.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
FCFP,FCFP-M5,Teacher as Researcher: Small Action Research for Classroom Improvement,Real classroom with mixed readiness and one clear curriculum objective.,Learners need different access routes while the teacher maintains one shared goal.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Elena]
[PROFILE: Female, 38–45, warm classroom pedagogy coach, navy blazer, ivory blouse]
[SETTING: bright Scandinavian classroom with light wood and student work displays]
[STYLE: warm, calm, teacher-friendly. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Teacher as Researcher: Small Action Research for Classroom Improvement. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Real classroom with mixed readiness and one clear curriculum objective. The problem is: Learners need different access routes while the teacher maintains one shared goal. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: State the shared objective in learner-friendly language. Step 2: Model one example and check readiness quickly. Step 3: Offer scaffold, core and extension routes. Step 4: Review evidence and record next support step.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
FCFP,FCFP-M6,"Creative Pedagogy, Transversal Competences and Classroom Portfolio",Real classroom with mixed readiness and one clear curriculum objective.,Learners need different access routes while the teacher maintains one shared goal.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Elena]
[PROFILE: Female, 38–45, warm classroom pedagogy coach, navy blazer, ivory blouse]
[SETTING: bright Scandinavian classroom with light wood and student work displays]
[STYLE: warm, calm, teacher-friendly. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Creative Pedagogy, Transversal Competences and Classroom Portfolio. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Real classroom with mixed readiness and one clear curriculum objective. The problem is: Learners need different access routes while the teacher maintains one shared goal. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: State the shared objective in learner-friendly language. Step 2: Model one example and check readiness quickly. Step 3: Offer scaffold, core and extension routes. Step 4: Review evidence and record next support step.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
ASTI,ASTI-M1,Multi-Tiered Support Systems: From Universal Support to Intensive Intervention,Real classroom with mixed readiness and one clear curriculum objective.,Learners need different access routes while the teacher maintains one shared goal.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Marcus]
[PROFILE: Male, 45–55, intervention specialist, grey jacket]
[SETTING: intervention planning room with progress charts]
[STYLE: analytical, humane, structured. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Multi-Tiered Support Systems: From Universal Support to Intensive Intervention. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Real classroom with mixed readiness and one clear curriculum objective. The problem is: Learners need different access routes while the teacher maintains one shared goal. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: State the shared objective in learner-friendly language. Step 2: Model one example and check readiness quickly. Step 3: Offer scaffold, core and extension routes. Step 4: Review evidence and record next support step.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
ASTI,ASTI-M2,Immediate Verification Framework and Early Warning Data,Real classroom with mixed readiness and one clear curriculum objective.,Learners need different access routes while the teacher maintains one shared goal.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Marcus]
[PROFILE: Male, 45–55, intervention specialist, grey jacket]
[SETTING: intervention planning room with progress charts]
[STYLE: analytical, humane, structured. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Immediate Verification Framework and Early Warning Data. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Real classroom with mixed readiness and one clear curriculum objective. The problem is: Learners need different access routes while the teacher maintains one shared goal. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: State the shared objective in learner-friendly language. Step 2: Model one example and check readiness quickly. Step 3: Offer scaffold, core and extension routes. Step 4: Review evidence and record next support step.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
ASTI,ASTI-M3,"Literacy, Language and EAL/ESL Intervention",Real classroom with mixed readiness and one clear curriculum objective.,Learners need different access routes while the teacher maintains one shared goal.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Marcus]
[PROFILE: Male, 45–55, intervention specialist, grey jacket]
[SETTING: intervention planning room with progress charts]
[STYLE: analytical, humane, structured. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Literacy, Language and EAL/ESL Intervention. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Real classroom with mixed readiness and one clear curriculum objective. The problem is: Learners need different access routes while the teacher maintains one shared goal. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: State the shared objective in learner-friendly language. Step 2: Model one example and check readiness quickly. Step 3: Offer scaffold, core and extension routes. Step 4: Review evidence and record next support step.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
ASTI,ASTI-M4,Numeracy and Conceptual Misunderstanding Intervention,Real classroom with mixed readiness and one clear curriculum objective.,Learners need different access routes while the teacher maintains one shared goal.,"Start with one observable learner need, not a label. | Write one shared learning objective. | Prepare support, core and extension routes. | Verify understanding within the first 10 minutes of practice. | Act immediately: reteach, regroup, scaffold, extend or pause for wellbeing support. | Record one piece of evidence and one next step. | Review impact within 24–72 hours.","Did I protect dignity and avoid public labelling? | Did every learner work toward the same core purpose? | Did I provide active, concrete or visual access where needed? | Did I use student voice, choice or self-assessment? | Did I verify learning before the end of the lesson? | Did I connect the task to at least one transversal competence? | Did I record evidence for improvement, not bureaucracy?","[AI AVATAR: Marcus]
[PROFILE: Male, 45–55, intervention specialist, grey jacket]
[SETTING: intervention planning room with progress charts]
[STYLE: analytical, humane, structured. Clean Scandinavian design, short text overlays, classroom cutaway visuals.]

SCENE 1 — OPENING
""Welcome to Numeracy and Conceptual Misunderstanding Intervention. This is a practical Finnish-inspired training session. We will turn the principle into daily teaching action: what to notice, when to act, what to prepare, what to say, and how to review impact.""

SCENE 2 — SHOW THE PROBLEM
""Here is the setting: Real classroom with mixed readiness and one clear curriculum objective. The problem is: Learners need different access routes while the teacher maintains one shared goal. In a Finnish-inspired classroom, we begin with dignity, observation, support and learner agency.""

SCENE 3 — DEMONSTRATE THE METHOD
Step 1: State the shared objective in learner-friendly language. Step 2: Model one example and check readiness quickly. Step 3: Offer scaffold, core and extension routes. Step 4: Review evidence and record next support step.

SCENE 4 — TRANSFER TO YOUR CLASSROOM
""Tomorrow, apply this in one lesson. Use one objective, one scaffold, one active task, one quick verification point, and one reflection.""

SCENE 5 — CLOSE
""Ask: did my design increase access, agency, wellbeing or evidence of learning? Keep what works, adapt what does not, and continue the improvement cycle.""

FINAL SCREEN
Action step: apply the method once this week.
Reflection question: What did learners do differently because of your design?"
